Metric,Baseline Model,Optimized Model,Improvement (%)
MSE,272685.8950372444,273937.28942118486,-0.4589142330847433
RMSE,522.1933502422685,523.39018850298,-0.22919446602608703
MAE,380.45181520850366,376.6591036559377,0.9968966899231065
R²,0.97558585122638,0.9754738112227712,-0.011484381765881261
