Datetime,target
2024-01-02 00:00:00,43662.0
2024-01-02 00:15:00,43699.0
2024-01-02 00:30:00,43807.0
2024-01-02 00:45:00,43698.0
2024-01-02 01:00:00,43730.0
2024-01-02 01:15:00,43655.0
2024-01-02 01:30:00,43501.0
2024-01-02 01:45:00,43623.0
2024-01-02 02:00:00,43532.0
2024-01-02 02:15:00,43489.0
2024-01-02 02:30:00,43464.0
2024-01-02 02:45:00,43545.0
2024-01-02 03:00:00,43707.0
2024-01-02 03:15:00,44015.0
2024-01-02 03:30:00,44097.0
2024-01-02 03:45:00,44187.0
2024-01-02 04:00:00,44666.0
2024-01-02 04:15:00,44615.0
2024-01-02 04:30:00,44771.0
2024-01-02 04:45:00,45098.0
2024-01-02 05:00:00,44946.0
2024-01-02 05:15:00,44984.0
2024-01-02 05:30:00,44828.0
2024-01-02 05:45:00,44887.0
2024-01-02 06:00:00,45001.0
2024-01-02 06:15:00,45132.0
2024-01-02 06:30:00,45320.0
2024-01-02 06:45:00,45412.0
2024-01-02 07:00:00,45291.0
2024-01-02 07:15:00,45350.0
2024-01-02 07:30:00,45494.0
2024-01-02 07:45:00,45422.0
2024-01-02 08:00:00,45415.0
2024-01-02 08:15:00,45398.0
2024-01-02 08:30:00,45271.0
2024-01-02 08:45:00,45236.0
2024-01-02 09:00:00,45351.0
2024-01-02 09:15:00,45295.0
2024-01-02 09:30:00,45292.0
2024-01-02 09:45:00,45211.0
2024-01-02 10:00:00,45276.0
2024-01-02 10:15:00,45288.0
2024-01-02 10:30:00,45339.0
2024-01-02 10:45:00,45224.0
2024-01-02 11:00:00,45381.0
2024-01-02 11:15:00,45483.0
2024-01-02 11:30:00,45562.0
2024-01-02 11:45:00,45495.0
2024-01-02 12:00:00,45670.0
2024-01-02 12:15:00,45797.0
2024-01-02 12:30:00,45714.0
2024-01-02 12:45:00,45793.0
2024-01-02 13:00:00,45742.0
2024-01-02 13:15:00,45893.0
2024-01-02 13:30:00,45719.0
2024-01-02 13:45:00,45722.0
2024-01-02 14:00:00,45639.0
2024-01-02 14:15:00,45686.0
2024-01-02 14:30:00,45606.0
2024-01-02 14:45:00,45608.0
2024-01-02 15:00:00,45598.0
2024-01-02 15:15:00,45531.0
2024-01-02 15:30:00,45285.0
2024-01-02 15:45:00,45467.0
2024-01-02 16:00:00,45416.0
2024-01-02 16:15:00,45509.0
2024-01-02 16:30:00,45518.0
2024-01-02 16:45:00,45338.0
2024-01-02 17:00:00,45513.0
2024-01-02 17:15:00,45569.0
2024-01-02 17:30:00,45708.0
2024-01-02 17:45:00,45699.0
2024-01-02 18:00:00,45814.0
2024-01-02 18:15:00,45689.0
2024-01-02 18:30:00,45583.0
2024-01-02 18:45:00,45303.0
2024-01-02 19:00:00,45147.0
2024-01-02 19:15:00,45062.0
2024-01-02 19:30:00,45327.0
2024-01-02 19:45:00,45226.0
2024-01-02 20:00:00,45116.0
2024-01-02 20:15:00,45205.0
2024-01-02 20:30:00,45281.0
2024-01-02 20:45:00,45392.0
2024-01-02 21:00:00,45283.0
2024-01-02 21:15:00,45252.0
2024-01-02 21:30:00,45089.0
2024-01-02 21:45:00,44989.0
2024-01-02 22:00:00,45039.0
2024-01-02 22:15:00,45155.0
2024-01-02 22:30:00,45100.0
2024-01-02 22:45:00,45170.0
2024-01-02 23:00:00,45141.0
2024-01-02 23:15:00,44923.0
2024-01-02 23:30:00,44999.0
2024-01-02 23:45:00,45065.0
2024-01-03 00:00:00,45120.0
2024-01-03 00:15:00,44989.0
2024-01-03 00:30:00,44849.0
2024-01-03 00:45:00,44796.0
2024-01-03 01:00:00,44866.0
2024-01-03 01:15:00,44835.0
2024-01-03 01:30:00,44960.0
2024-01-03 01:45:00,45125.0
2024-01-03 02:00:00,45179.0
2024-01-03 02:15:00,45085.0
2024-01-03 02:30:00,44948.0
2024-01-03 02:45:00,45001.0
2024-01-03 03:00:00,45010.0
2024-01-03 03:15:00,44988.0
2024-01-03 03:30:00,44856.0
2024-01-03 03:45:00,44970.0
2024-01-03 04:00:00,45019.0
2024-01-03 04:15:00,44922.0
2024-01-03 04:30:00,45162.0
2024-01-03 04:45:00,45161.0
2024-01-03 05:00:00,45208.0
2024-01-03 05:15:00,45189.0
2024-01-03 05:30:00,45269.0
2024-01-03 05:45:00,45336.0
2024-01-03 06:00:00,45319.0
2024-01-03 06:15:00,45342.0
2024-01-03 06:30:00,45304.0
2024-01-03 06:45:00,45292.0
2024-01-03 07:00:00,45310.0
2024-01-03 07:15:00,45254.0
2024-01-03 07:30:00,45227.0
2024-01-03 07:45:00,45289.0
2024-01-03 08:00:00,45248.0
2024-01-03 08:15:00,45233.0
2024-01-03 08:30:00,45183.0
2024-01-03 08:45:00,45205.0
2024-01-03 09:00:00,45247.0
2024-01-03 09:15:00,45303.0
2024-01-03 09:30:00,45254.0
2024-01-03 09:45:00,45195.0
2024-01-03 10:00:00,45220.0
2024-01-03 10:15:00,45302.0
2024-01-03 10:30:00,45270.0
2024-01-03 10:45:00,45342.0
2024-01-03 11:00:00,45373.0
2024-01-03 11:15:00,45352.0
2024-01-03 11:30:00,45176.0
2024-01-03 11:45:00,45029.0
2024-01-03 12:00:00,45098.0
2024-01-03 12:15:00,45192.0
2024-01-03 12:30:00,45075.0
2024-01-03 12:45:00,45219.0
2024-01-03 13:00:00,45315.0
2024-01-03 13:15:00,45369.0
2024-01-03 13:30:00,45436.0
2024-01-03 13:45:00,45361.0
2024-01-03 14:00:00,45383.0
2024-01-03 14:15:00,45303.0
2024-01-03 14:30:00,45106.0
2024-01-03 14:45:00,45164.0
2024-01-03 15:00:00,44790.0
2024-01-03 15:15:00,44406.0
2024-01-03 15:30:00,44502.0
2024-01-03 15:45:00,43739.0
2024-01-03 16:00:00,41874.0
2024-01-03 16:15:00,42388.0
2024-01-03 16:30:00,42239.0
2024-01-03 16:45:00,42816.0
2024-01-03 17:00:00,42597.0
2024-01-03 17:15:00,42532.0
2024-01-03 17:30:00,42575.0
2024-01-03 17:45:00,42572.0
2024-01-03 18:00:00,42351.0
2024-01-03 18:15:00,42137.0
2024-01-03 18:30:00,42380.0
2024-01-03 18:45:00,42221.0
2024-01-03 19:00:00,42441.0
2024-01-03 19:15:00,42453.0
2024-01-03 19:30:00,42423.0
2024-01-03 19:45:00,43014.0
2024-01-03 20:00:00,43301.0
2024-01-03 20:15:00,43473.0
2024-01-03 20:30:00,42999.0
2024-01-03 20:45:00,43034.0
2024-01-03 21:00:00,42954.0
2024-01-03 21:15:00,42818.0
2024-01-03 21:30:00,42805.0
2024-01-03 21:45:00,42932.0
2024-01-03 22:00:00,42909.0
2024-01-03 22:15:00,42774.0
2024-01-03 22:30:00,42719.0
2024-01-03 22:45:00,42265.0
2024-01-03 23:00:00,42485.0
2024-01-03 23:15:00,42691.0
2024-01-03 23:30:00,42699.0
2024-01-03 23:45:00,42627.0
2024-01-04 00:00:00,42613.0
2024-01-04 00:15:00,42734.0
2024-01-04 00:30:00,42692.0
2024-01-04 00:45:00,42725.0
2024-01-04 01:00:00,42650.0
2024-01-04 01:15:00,42839.0
2024-01-04 01:30:00,42887.0
2024-01-04 01:45:00,42912.0
2024-01-04 02:00:00,42946.0
2024-01-04 02:15:00,42696.0
2024-01-04 02:30:00,42673.0
2024-01-04 02:45:00,42775.0
2024-01-04 03:00:00,42658.0
2024-01-04 03:15:00,42793.0
2024-01-04 03:30:00,42727.0
2024-01-04 03:45:00,42865.0
2024-01-04 04:00:00,42952.0
2024-01-04 04:15:00,42910.0
2024-01-04 04:30:00,42886.0
2024-01-04 04:45:00,42903.0
2024-01-04 05:00:00,42906.0
2024-01-04 05:15:00,42738.0
2024-01-04 05:30:00,42690.0
2024-01-04 05:45:00,42746.0
2024-01-04 06:00:00,42918.0
2024-01-04 06:15:00,42912.0
2024-01-04 06:30:00,42968.0
2024-01-04 06:45:00,43167.0
2024-01-04 07:00:00,43185.0
2024-01-04 07:15:00,43070.0
2024-01-04 07:30:00,43060.0
2024-01-04 07:45:00,43143.0
2024-01-04 08:00:00,43068.0
2024-01-04 08:15:00,43167.0
2024-01-04 08:30:00,43143.0
2024-01-04 08:45:00,43185.0
2024-01-04 09:00:00,43204.0
2024-01-04 09:15:00,43126.0
2024-01-04 09:30:00,43263.0
2024-01-04 09:45:00,43218.0
2024-01-04 10:00:00,43138.0
2024-01-04 10:15:00,43159.0
2024-01-04 10:30:00,43237.0
2024-01-04 10:45:00,43182.0
2024-01-04 11:00:00,43136.0
2024-01-04 11:15:00,43091.0
2024-01-04 11:30:00,43011.0
2024-01-04 11:45:00,42804.0
2024-01-04 12:00:00,42903.0
2024-01-04 12:15:00,42970.0
2024-01-04 12:30:00,42816.0
2024-01-04 12:45:00,42881.0
2024-01-04 13:00:00,42910.0
2024-01-04 13:15:00,43018.0
2024-01-04 13:30:00,43018.0
2024-01-04 13:45:00,43055.0
2024-01-04 14:00:00,42977.0
2024-01-04 14:15:00,42836.0
2024-01-04 14:30:00,43052.0
2024-01-04 14:45:00,43113.0
2024-01-04 15:00:00,43086.0
2024-01-04 15:15:00,43146.0
2024-01-04 15:30:00,43198.0
2024-01-04 15:45:00,43226.0
2024-01-04 16:00:00,43290.0
2024-01-04 16:15:00,43218.0
2024-01-04 16:30:00,43317.0
2024-01-04 16:45:00,43434.0
2024-01-04 17:00:00,43345.0
2024-01-04 17:15:00,43293.0
2024-01-04 17:30:00,43344.0
2024-01-04 17:45:00,43388.0
2024-01-04 18:00:00,43333.0
2024-01-04 18:15:00,43367.0
2024-01-04 18:30:00,43493.0
2024-01-04 18:45:00,43712.0
2024-01-04 19:00:00,43844.0
2024-01-04 19:15:00,44175.0
2024-01-04 19:30:00,44177.0
2024-01-04 19:45:00,44085.0
2024-01-04 20:00:00,43967.0
2024-01-04 20:15:00,43909.0
2024-01-04 20:30:00,43980.0
2024-01-04 20:45:00,43948.0
2024-01-04 21:00:00,44192.0
2024-01-04 21:15:00,44139.0
2024-01-04 21:30:00,43884.0
2024-01-04 21:45:00,44057.0
2024-01-04 22:00:00,44026.0
2024-01-04 22:15:00,44024.0
2024-01-04 22:30:00,44137.0
2024-01-04 22:45:00,44094.0
2024-01-04 23:00:00,44267.0
2024-01-04 23:15:00,44441.0
2024-01-04 23:30:00,44160.0
2024-01-04 23:45:00,44021.0
2024-01-05 00:00:00,44035.0
2024-01-05 00:15:00,44123.0
2024-01-05 00:30:00,44379.0
2024-01-05 00:45:00,44191.0
2024-01-05 01:00:00,44372.0
2024-01-05 01:15:00,44472.0
2024-01-05 01:30:00,44317.0
2024-01-05 01:45:00,44468.0
2024-01-05 02:00:00,44679.0
2024-01-05 02:15:00,44533.0
2024-01-05 02:30:00,44462.0
2024-01-05 02:45:00,44394.0
2024-01-05 03:00:00,44266.0
2024-01-05 03:15:00,44357.0
2024-01-05 03:30:00,44217.0
2024-01-05 03:45:00,44186.0
2024-01-05 04:00:00,44249.0
2024-01-05 04:15:00,44272.0
2024-01-05 04:30:00,44149.0
2024-01-05 04:45:00,44266.0
2024-01-05 05:00:00,44184.0
2024-01-05 05:15:00,43930.0
2024-01-05 05:30:00,43980.0
2024-01-05 05:45:00,43432.0
2024-01-05 06:00:00,43697.0
2024-01-05 06:15:00,43344.0
2024-01-05 06:30:00,43637.0
2024-01-05 06:45:00,43555.0
2024-01-05 07:00:00,43647.0
2024-01-05 07:15:00,43600.0
2024-01-05 07:30:00,43527.0
2024-01-05 07:45:00,43504.0
2024-01-05 08:00:00,43404.0
2024-01-05 08:15:00,43413.0
2024-01-05 08:30:00,43598.0
2024-01-05 08:45:00,43625.0
2024-01-05 09:00:00,43595.0
2024-01-05 09:15:00,43666.0
2024-01-05 09:30:00,43677.0
2024-01-05 09:45:00,43685.0
2024-01-05 10:00:00,43721.0
2024-01-05 10:15:00,43646.0
2024-01-05 10:30:00,43740.0
2024-01-05 10:45:00,43873.0
2024-01-05 11:00:00,43864.0
2024-01-05 11:15:00,43904.0
2024-01-05 11:30:00,43816.0
2024-01-05 11:45:00,43810.0
2024-01-05 12:00:00,43911.0
2024-01-05 12:15:00,43930.0
2024-01-05 12:30:00,43872.0
2024-01-05 12:45:00,43949.0
2024-01-05 13:00:00,44077.0
